,HU1,HU2,HU3,HU4,HU5,HU6,HU7
a0,0.0009085629862813822,7.877067579402401e-10,1.2805599230272178e-13,5.28971236261771e-12,-4.1026273772048825e-24,-1.461339582330096e-16,-1.4567907060478944e-24
a1,0.0009188253116885046,1.5507183760794676e-10,1.1102652583689633e-16,1.2566010825402373e-12,1.462560790385356e-26,-1.3421608926586145e-17,-2.5286156930496228e-27
a2,0.0009900586385789103,1.075539307653464e-09,1.7173911886723402e-13,1.160185442443282e-12,-1.0234064785087839e-25,-3.575081059984085e-17,5.076631549737967e-25
a3,0.0009114209599541069,7.753982906836314e-11,2.9815078592733154e-14,3.715122018085882e-12,-7.022492142118527e-25,-1.7411402930806064e-17,-1.0176747961349542e-24
a4,0.0009257638214535567,5.2425011905633726e-11,1.7647988628991164e-14,8.829507373048835e-13,-1.4558007237901705e-26,6.1726854962586096e-18,-1.0925227825711079e-25
a5,0.0008943632898441024,1.221390920956489e-09,6.110616143292422e-15,1.321550590176449e-13,3.662100372104542e-27,3.960372640671508e-19,8.323633209727572e-28
e0,0.000986877381927285,5.750426027738905e-10,1.0358080189804675e-13,1.1285386066872077e-11,-5.119187889594461e-24,-2.4345560798461226e-16,-1.1075704556597224e-23
e1,0.0009996981537112731,6.884162919058789e-10,1.236814400361824e-14,8.287107891996729e-13,7.365274083010178e-26,2.1627714149712836e-17,4.0178539699142795e-26
e2,0.0011183803389809117,3.79594482512115e-10,3.84553806002701e-14,1.0478695310778228e-11,8.189351034395621e-25,-5.887042523687916e-17,-6.60119897223686e-24
e3,0.0009993954817259512,8.784230451576941e-10,2.2000721383380437e-13,2.403297475553403e-12,-1.240627807268918e-25,-3.452798377600677e-17,-1.7431412669141766e-24
e4,0.001013723293155623,1.36086973669272e-10,3.987220340150635e-15,4.236517979130385e-13,1.639590781101838e-26,1.9210280011925364e-18,-5.8610585515695405e-27
e5,0.0009647038057195006,9.276505709637555e-10,1.1152902983912804e-13,5.52469597054743e-12,4.301599942272288e-24,-1.5141567390802298e-16,-5.504167697897122e-25
i0,0.0008194772719523122,8.300071298666031e-10,4.977030774715859e-14,3.0296970177987094e-13,-7.536352195446651e-27,8.331807325558401e-19,3.643219521564779e-26
i1,0.0008379598503472127,4.215177250190847e-09,3.6869943753254637e-13,5.941787205398225e-13,-9.078621047431309e-26,-2.1810205052502555e-18,2.6287136152546607e-25
i2,0.000807012825431121,1.4168228388482181e-09,4.022132053909539e-15,9.773843368769444e-14,-1.4528248033013748e-27,-3.1291988174432722e-18,1.2824459627952856e-27
i3,0.0008312517372329935,2.5737692186633185e-09,4.0861152681191423e-13,7.786800029278256e-13,4.532311702771814e-26,1.0067721558060195e-17,4.36887224037107e-25
i4,0.0008195506094884203,9.380226570840557e-10,6.724427208708721e-14,3.360971302635233e-13,-4.5310384424644096e-26,-8.990745820498786e-18,-2.2359842723867416e-26
i5,0.0007900913683444578,7.492302413396105e-10,2.9440743371646027e-14,6.833743827417038e-14,-1.0578689211553042e-27,1.2213378662635897e-18,2.876894266512677e-27
o0,0.0009397264240328114,3.1377224007120396e-10,6.956452365410012e-14,1.4113156360372102e-12,4.1117453338372166e-25,2.1823254950625315e-17,1.6274706876702453e-25
o1,0.0010051788098827622,8.69509614960181e-10,3.883113698813078e-14,4.791980787980399e-13,-1.9954850474680702e-26,-5.4588864417043716e-18,6.224732405845879e-26
o2,0.0011281689559888843,9.656604472933917e-13,4.441808220631847e-16,5.570288948505481e-13,-8.397327735533385e-27,3.771985036237296e-19,2.501027897950764e-27
o3,0.0010864796436799852,1.5535183175261164e-09,3.4361880756032666e-13,2.9449618861119007e-12,1.4771984536197203e-24,3.022216049114535e-17,2.5679321832371674e-24
o4,0.0009780007264771691,2.945511014666885e-10,4.2094999814600127e-14,1.3532488358910403e-12,9.500059678976264e-26,3.54858436165367e-18,3.08697111405064e-25
o5,0.0009739813063404926,8.719744089717959e-10,1.579602502171672e-13,9.27779435460274e-12,-1.1202886918559575e-23,-2.7377593735241643e-16,-8.023775009007018e-25
u0,0.0008699189073461046,1.4528172291650525e-11,1.249596016974997e-15,1.3974840653229202e-12,-5.1132733021264935e-26,1.490323511467892e-18,2.8211383205337526e-26
u1,0.0008968096667789214,7.031860928258392e-12,1.7593526591188556e-14,1.2428452564163923e-13,-9.596876491734559e-28,2.52681563452862e-19,-5.7319000231332704e-27
u2,0.0009753274312550727,3.012925446874641e-10,6.843398506504414e-14,5.615567532078252e-13,-1.1008348387351192e-25,2.877762890407701e-18,4.859496804411732e-28
u3,0.0009357593765007331,6.224753440663067e-11,7.077923330311223e-14,1.2628343640603178e-12,3.697150932121451e-25,1.7344423100687207e-18,-7.650794290065517e-26
u4,0.0009176331241170037,5.092496517665231e-11,2.903491423659237e-14,9.282438946620026e-15,1.419421838905355e-28,7.61483426260649e-21,5.545090699749888e-29
u5,0.000912644373390533,4.691150630512092e-10,2.763339035559384e-14,4.059318631448857e-12,-1.2969477521314271e-24,-8.755794127269054e-17,-4.078191722037228e-25
